"";"datum";"cas";"gho";"oblacnost";"teplota";"vietor";"vlhkost";"tlak";"praca";"fve";"fve_nazov";"ins_vykon";"dlzkadna";"azim";"elev"
"1";2015-01-01;2015-01-01 07:00:00;2;20;-8,6;0;94;1034;2;2;"FVE Dubravy 2";850,000023841858;8,16;129,838;2,46862
"2";2015-01-01;2015-01-01 08:00:00;32;31;-7,9;0;94;1033;73;2;"FVE Dubravy 2";850,000023841858;8,16;141,851;9,37812
"3";2015-01-01;2015-01-01 09:00:00;75;21;-6,6;0;92;1034;145;2;"FVE Dubravy 2";850,000023841858;8,16;154,918;14,5819
"4";2015-01-01;2015-01-01 10:00:00;102;69;-4,9;0;87;1034;91;2;"FVE Dubravy 2";850,000023841858;8,16;168,921;17,6661
"5";2015-01-01;2015-01-01 11:00:00;102;68;-3,2;0;83;1033;65;2;"FVE Dubravy 2";850,000023841858;8,16;183,414;18,3333
"6";2015-01-01;2015-01-01 12:00:00;117;46;-2;0;80;1033;32;2;"FVE Dubravy 2";850,000023841858;8,16;197,752;16,5131
"7";2015-01-01;2015-01-01 13:00:00;83;64;-1,5;0;77;1033;18;2;"FVE Dubravy 2";850,000023841858;8,16;211,355;12,3925
"8";2015-01-01;2015-01-01 14:00:00;49;82;-1,8;0;80;1033;11;2;"FVE Dubravy 2";850,000023841858;8,16;223,928;6,33859
"9";2015-01-02;2015-01-02 07:00:00;1;89;-5,3;0;99;1030;5;2;"FVE Dubravy 2";850,000023841858;8,18;129,702;2,47924
"10";2015-01-02;2015-01-02 08:00:00;23;89;-4,7;0;99;1030;25;2;"FVE Dubravy 2";850,000023841858;8,18;141,714;9,40593
"11";2015-01-02;2015-01-02 09:00:00;56;88;-3,5;0;99;1029;21;2;"FVE Dubravy 2";850,000023841858;8,18;154,785;14,6299
"12";2015-01-02;2015-01-02 10:00:00;84;81;-2,1;0;99;1029;24;2;"FVE Dubravy 2";850,000023841858;8,18;168,796;17,7356
"13";2015-01-02;2015-01-02 11:00:00;113;71;-1,2;1;95;1028;50;2;"FVE Dubravy 2";850,000023841858;8,18;183,304;18,4234
"14";2015-01-02;2015-01-02 12:00:00;114;70;-0,9;1;94;1027;92;2;"FVE Dubravy 2";850,000023841858;8,18;197,662;16,6205
"15";2015-01-02;2015-01-02 13:00:00;91;72;-1;1;95;1027;67;2;"FVE Dubravy 2";850,000023841858;8,18;211,286;12,5127
"16";2015-01-02;2015-01-02 14:00:00;52;76;-1,5;1;97;1026;12;2;"FVE Dubravy 2";850,000023841858;8,18;223,877;6,46729
"17";2015-01-03;2015-01-03 07:00:00;2;48;-1,2;5;84;1026;2;2;"FVE Dubravy 2";850,000023841858;8,2;129,562;2,49675
"18";2015-01-03;2015-01-03 08:00:00;32;48;-1,1;5;84;1026;19;2;"FVE Dubravy 2";850,000023841858;8,2;141,576;9,44094
"19";2015-01-03;2015-01-03 09:00:00;75;48;-0,8;5;84;1025;67;2;"FVE Dubravy 2";850,000023841858;8,2;154,651;14,6852
"20";2015-01-03;2015-01-03 10:00:00;111;55;-0,4;4;84;1025;66;2;"FVE Dubravy 2";850,000023841858;8,2;168,671;17,8126
"21";2015-01-03;2015-01-03 11:00:00;126;64;-0,2;4;84;1025;86;2;"FVE Dubravy 2";850,000023841858;8,2;183,196;18,5208
"22";2015-01-03;2015-01-03 12:00:00;116;77;-0,2;3;85;1024;85;2;"FVE Dubravy 2";850,000023841858;8,2;197,574;16,735
"23";2015-01-03;2015-01-03 13:00:00;82;88;-0,5;3;86;1023;53;2;"FVE Dubravy 2";850,000023841858;8,2;211,22;12,6395
"24";2015-01-03;2015-01-03 14:00:00;46;89;-1;3;88;1022;22;2;"FVE Dubravy 2";850,000023841858;8,2;223,832;6,60192
"25";2015-01-04;2015-01-04 07:00:00;2;1;-2,7;5;87;1013;1;2;"FVE Dubravy 2";850,000023841858;8,22;129,419;2,52118
"26";2015-01-04;2015-01-04 08:00:00;32;0;-2,7;5;86;1014;13;2;"FVE Dubravy 2";850,000023841858;8,22;141,435;9,48315
"27";2015-01-04;2015-01-04 09:00:00;74;0;-2,4;5;87;1015;16;2;"FVE Dubravy 2";850,000023841858;8,22;154,515;14,748
"28";2015-01-04;2015-01-04 10:00:00;113;0;-2;5;87;1015;12;2;"FVE Dubravy 2";850,000023841858;8,22;168,547;17,8971
