"";"datum";"cas";"gho";"oblacnost";"teplota";"vietor";"vlhkost";"tlak";"praca";"fve";"fve_nazov";"ins_vykon";"dlzkadna";"azim";"elev"
"1";2015-01-01;2015-01-01 07:00:00;2;81;-9;0;81;1035;2;3;"FVE Plesivec";984,000027179718;8,16;129,838;2,46862
"2";2015-01-01;2015-01-01 08:00:00;30;82;-8,6;0;79;1035;29;3;"FVE Plesivec";984,000027179718;8,16;141,851;9,37812
"3";2015-01-01;2015-01-01 09:00:00;73;73;-7,7;0;74;1035;92;3;"FVE Plesivec";984,000027179718;8,16;154,918;14,5819
"4";2015-01-01;2015-01-01 10:00:00;89;97;-6,9;0;71;1035;58;3;"FVE Plesivec";984,000027179718;8,16;168,921;17,6661
"5";2015-01-01;2015-01-01 11:00:00;89;96;-6,4;0;75;1035;35;3;"FVE Plesivec";984,000027179718;8,16;183,414;18,3333
"6";2015-01-01;2015-01-01 12:00:00;95;84;-5,7;0;74;1035;22;3;"FVE Plesivec";984,000027179718;8,16;197,752;16,5131
"7";2015-01-01;2015-01-01 13:00:00;74;94;-5,5;0;75;1035;10;3;"FVE Plesivec";984,000027179718;8,16;211,355;12,3925
"8";2015-01-01;2015-01-01 14:00:00;38;97;-5,5;0;79;1035;5;3;"FVE Plesivec";984,000027179718;8,16;223,928;6,33859
"9";2015-01-02;2015-01-02 07:00:00;2;96;-6,5;0;96;1032;4;3;"FVE Plesivec";984,000027179718;8,18;129,702;2,47924
"10";2015-01-02;2015-01-02 08:00:00;23;94;-5,9;0;92;1032;18;3;"FVE Plesivec";984,000027179718;8,18;141,714;9,40593
"11";2015-01-02;2015-01-02 09:00:00;52;93;-5,3;0;88;1031;16;3;"FVE Plesivec";984,000027179718;8,18;154,785;14,6299
"12";2015-01-02;2015-01-02 10:00:00;75;92;-4,8;1;88;1030;16;3;"FVE Plesivec";984,000027179718;8,18;168,796;17,7356
"13";2015-01-02;2015-01-02 11:00:00;86;90;-4,4;1;87;1030;13;3;"FVE Plesivec";984,000027179718;8,18;183,304;18,4234
"14";2015-01-02;2015-01-02 12:00:00;84;93;-4,1;1;87;1029;7;3;"FVE Plesivec";984,000027179718;8,18;197,662;16,6205
"15";2015-01-02;2015-01-02 13:00:00;67;91;-3,7;1;89;1027;4;3;"FVE Plesivec";984,000027179718;8,18;211,286;12,5127
"16";2015-01-02;2015-01-02 14:00:00;40;89;-3,1;1;95;1026;1;3;"FVE Plesivec";984,000027179718;8,18;223,877;6,46729
"17";2015-01-03;2015-01-03 07:00:00;3;92;-3,6;1;85;1025;7;3;"FVE Plesivec";984,000027179718;8,2;129,562;2,49675
"18";2015-01-03;2015-01-03 08:00:00;34;92;-3,3;1;84;1025;60;3;"FVE Plesivec";984,000027179718;8,2;141,576;9,44094
"19";2015-01-03;2015-01-03 09:00:00;75;89;-3;1;87;1025;95;3;"FVE Plesivec";984,000027179718;8,2;154,651;14,6852
"20";2015-01-03;2015-01-03 10:00:00;110;88;-2,5;0;89;1025;95;3;"FVE Plesivec";984,000027179718;8,2;168,671;17,8126
"21";2015-01-03;2015-01-03 11:00:00;128;87;-1,8;1;88;1024;126;3;"FVE Plesivec";984,000027179718;8,2;183,196;18,5208
"22";2015-01-03;2015-01-03 12:00:00;122;87;-1,1;1;87;1023;89;3;"FVE Plesivec";984,000027179718;8,2;197,574;16,735
"23";2015-01-03;2015-01-03 13:00:00;90;92;-0,9;2;90;1022;52;3;"FVE Plesivec";984,000027179718;8,2;211,22;12,6395
"24";2015-01-03;2015-01-03 14:00:00;45;96;-1;2;92;1021;16;3;"FVE Plesivec";984,000027179718;8,2;223,832;6,60192
"25";2015-01-04;2015-01-04 07:00:00;3;0;-3,2;2;80;1012;0;3;"FVE Plesivec";984,000027179718;8,22;129,419;2,52118
"26";2015-01-04;2015-01-04 08:00:00;41;0;-3,2;1;81;1012;20;3;"FVE Plesivec";984,000027179718;8,22;141,435;9,48315
"27";2015-01-04;2015-01-04 09:00:00;93;0;-2,3;2;76;1013;84;3;"FVE Plesivec";984,000027179718;8,22;154,515;14,748
"28";2015-01-04;2015-01-04 10:00:00;139;0;-0,8;2;69;1013;193;3;"FVE Plesivec";984,000027179718;8,22;168,547;17,8971
"29";2015-01-04;2015-01-04 11:00:00;161;0;0,4;2;69;1013;193;3;"FVE Plesivec";984,000027179718;8,22;183,089;18,6256
