"";"datum";"cas";"gho";"oblacnost";"teplota";"vietor";"vlhkost";"tlak";"praca";"fve";"fve_nazov";"ins_vykon";"dlzkadna";"azim";"elev"
"1";2015-07-01;2015-07-01 03:00:00;1;23;12,8;2;76;1022;2;3;"FVE Plesivec";984,000027179718;15,86;55,364;1,29842
"2";2015-07-01;2015-07-01 04:00:00;51;23;13,1;2;78;1022;14;3;"FVE Plesivec";984,000027179718;15,86;66,1656;9,94363
"3";2015-07-01;2015-07-01 05:00:00;163;21;15,3;1;71;1022;58;3;"FVE Plesivec";984,000027179718;15,86;76,6173;19,3301
"4";2015-07-01;2015-07-01 06:00:00;309;19;18;1;65;1022;130;3;"FVE Plesivec";984,000027179718;15,86;87,2703;29,1347
"5";2015-07-01;2015-07-01 07:00:00;446;21;20,3;0;58;1022;199;3;"FVE Plesivec";984,000027179718;15,86;98,912;39,0221
"6";2015-07-01;2015-07-01 08:00:00;572;23;22;1;51;1022;247;3;"FVE Plesivec";984,000027179718;15,86;112,791;48,5513
"7";2015-07-01;2015-07-01 09:00:00;697;23;23,1;1;47;1022;282;3;"FVE Plesivec";984,000027179718;15,86;130,976;56,9796
"8";2015-07-01;2015-07-01 10:00:00;740;50;23,9;2;43;1022;309;3;"FVE Plesivec";984,000027179718;15,86;156,089;62,9161
"9";2015-07-01;2015-07-01 11:00:00;690;65;24,3;2;41;1022;228;3;"FVE Plesivec";984,000027179718;15,86;187,295;64,3698
"10";2015-07-01;2015-07-01 12:00:00;657;60;24,5;2;42;1022;238;3;"FVE Plesivec";984,000027179718;15,86;216,349;60,6329
"11";2015-07-01;2015-07-01 13:00:00;690;54;24,9;2;43;1021;240;3;"FVE Plesivec";984,000027179718;15,86;238,02;53,3275
"12";2015-07-01;2015-07-01 14:00:00;554;72;24,6;2;45;1021;209;3;"FVE Plesivec";984,000027179718;15,86;253,914;44,2692
"13";2015-07-01;2015-07-01 15:00:00;317;86;23,7;1;49;1021;89;3;"FVE Plesivec";984,000027179718;15,86;266,57;34,5054
